Prioridade;Nome do objeto;Nome_limpo;Melhores dias para observação;ΔV-MAG (Início–Fim);Análise;"μ (""/min) Início";"μ (""/min) Fim";Classe;Melhor dia (menor V);V no melhor ponto;ALT no melhor ponto (deg);Ano;score_recencia;score_mag;score_vel;score_total
1;2025 YK9*;2025 YK9;10–23/02;17.7–18.0;CORES (g', r', i', z');2.944;9.67;rápido;2026-02-11;17.6;24.0;2025.0;1.0;0.09859154929577452;1.0;0.5943661971830985
2;2011 WV134;2011 WV134;10–24/02;15.3–15.3;CORES (g', r', i', z');3.010166666666667;8.864666666666666;lento;2026-02-16;15.1;21.0;2011.0;0.8181818181818182;0.45070422535211274;0.0;0.5709987195902689
3;2016 CL136*;2016 CL136;10–14/02;17.6–18.4;CORES (g', r', i', z');10.937166666666666;7.031833333333334;rápido;2026-02-10;17.6;53.0;2016.0;0.8831168831168831;0.09859154929577452;1.0;0.5417687945856959
4;2022 YU4;2022 YU4;10–17/02;17.4–17.1;CORES (g', r', i', z');3.08;4.2385;lento;2026-02-17;17.1;20.0;2022.0;0.961038961038961;0.16901408450704214;0.0;0.5085238704957014
5;2002 AJ129*;2002 AJ129;10–24/02;17.4–18.4;CORES (g', r', i', z');31.939;2.9328333333333334;rápido;2026-02-11;16.9;34.0;2002.0;0.7012987012987013;0.1971830985915496;1.0;0.5043168099506129
6;2015 CB*;2015 CB;10–12/02;18.1–18.4;CORES (g', r', i', z');10.050166666666666;8.538166666666665;rápido;2026-02-10;18.1;44.0;2015.0;0.8701298701298701;0.028169014084506894;1.0;0.5042344978964697
7;2005 GN59;2005 GN59;10–24/02;15.9–16.5;CORES (g', r', i', z');2.1031666666666666;1.4578333333333333;lento;2026-02-10;15.9;52.0;2005.0;0.7402597402597403;0.3380281690140845;0.0;0.4852295591732212
8;2009 AS*;2009 AS;10–24/02;18.0–18.1;CORES (g', r', i', z');53.58;35.14;rápido;2026-02-10;18.0;48.0;2009.0;0.7922077922077922;0.04225352112676062;1.0;0.4755075910005488
9;1998 KV2*;1998 KV2;10–23/02;17.4–17.4;CORES (g', r', i', z');40.51;8.77;rápido;2026-02-10;17.4;20.0;1998.0;0.6493506493506493;0.12676056338028197;1.0;0.4492500457289191
10;2016 NN39;2016 NN39;10–23/02;17.5–17.8;CORES (g', r', i', z');5.656000000000001;5.714666666666667;lento;2026-02-10;17.5;24.0;2016.0;0.8831168831168831;0.11267605633802824;0.0;0.4481068227547101
11;2001 CP44*;2001 CP44;10–23/02;18.0–17.7;CORES (g', r', i', z');23.99;25.46;rápido;2026-02-20;17.7;65.0;2001.0;0.6883116883116883;0.08450704225352135;1.0;0.44776842875434436
12;2021 CM9;2021 CM9;10–17/02;18.0–18.5;CORES (g', r', i', z');1.7311666666666667;1.2546666666666666;lento;2026-02-10;18.0;48.0;2021.0;0.948051948051948;0.04225352112676062;0.0;0.4456374611304189
13;2015 HC117;2015 HC117;10–24/02;17.6–17.7;CORES (g', r', i', z');1.3361666666666667;1.4133333333333333;lento;2026-02-12;17.5;24.0;2015.0;0.8701298701298701;0.11267605633802824;0.0;0.44226266691055427
14;2005 LR3*;2005 LR3;10–23/02;18.2–18.3;CORES (g', r', i', z');30.46;20.95;rápido;2026-02-10;18.2;22.0;2005.0;0.7402597402597403;0.014084507042253724;1.0;0.4394549112858973
15;2011 GO27;2011 GO27;10–24/02;17.2–17.8;CORES (g', r', i', z');1.648;1.0253333333333334;lento;2026-02-10;17.2;30.0;2011.0;0.8181818181818182;0.15492957746478886;0.0;0.4379001280409732
16;1999 OW3;1999 OW3;10–23/02;16.3–16.1;CORES (g', r', i', z');2.056;2.8258333333333336;lento;2026-02-17;16.1;50.0;1999.0;0.6623376623376623;0.3098591549295773;0.0;0.43748856777025785
17;2002 DB4;2002 DB4;10–24/02;16.4–16.7;CORES (g', r', i', z');1.8673333333333335;1.6483333333333334;lento;2026-02-10;16.4;57.0;2002.0;0.7012987012987013;0.2676056338028171;0.0;0.4360069507956833
18;2008 YR2;2008 YR2;10–24/02;17.5–17.1;CORES (g', r', i', z');1.1656666666666666;1.252;lento;2026-02-19;17.0;69.0;2008.0;0.7792207792207793;0.18309859154929586;0.0;0.4330437168465338
19;2000 BH19*;2000 BH19;10–23/02;17.9–17.9;CORES (g', r', i', z');62.19;23.58;rápido;2026-02-10;17.9;22.0;2000.0;0.6753246753246753;0.05633802816901434;1.0;0.42924821657216033
20;2004 QB17*;2004 QB17;10–24/02;18.3–18.5;CORES (g', r', i', z');51.08;41.91;rápido;2026-02-10;18.3;36.0;2004.0;0.7272727272727273;0.0;1.0;0.42727272727272725
21;1998 YP11;1998 YP11;10–24/02;16.2–16.4;CORES (g', r', i', z');1.7345;1.6971666666666667;lento;2026-02-10;16.2;62.0;1998.0;0.6493506493506493;0.2957746478873241;0.0;0.42530638375708807
22;1998 WT30*;1998 WT30;10–24/02;17.8–18.1;CORES (g', r', i', z');3.71;17.17;rápido;2026-02-10;17.8;47.0;1998.0;0.6493506493506493;0.07042253521126762;1.0;0.4238979330528626
23;2000 SS164*;2000 SS164;10–23/02;18.2–18.0;CORES (g', r', i', z');29.3;34.23;rápido;2026-02-22;18.0;20.0;2000.0;0.6753246753246753;0.04225352112676062;1.0;0.42291018840314615
24;2000 VN2*;2000 VN2;10–23/02;18.2–18.1;CORES (g', r', i', z');46.81;22.17;rápido;2026-02-10;18.1;69.0;2000.0;0.6753246753246753;0.028169014084506894;1.0;0.41657216023413196
25;2001 WG2*;2001 WG2;10–23/02;18.3–18.2;CORES (g', r', i', z');50.92;45.91;rápido;2026-02-19;18.2;20.0;2001.0;0.6883116883116883;0.014084507042253724;1.0;0.4160782879092739
26;2001 YJ4;2001 YJ4;10–23/02;16.7–16.7;CORES (g', r', i', z');3.9335;4.276;lento;2026-02-10;16.7;21.0;2001.0;0.6883116883116883;0.22535211267605648;0.0;0.4111487104444852
27;2001 BW15;2001 BW15;10–24/02;17.3–16.8;CORES (g', r', i', z');2.7411666666666665;3.7488333333333332;lento;2026-02-21;16.8;34.0;2001.0;0.6883116883116883;0.21126760563380276;0.0;0.404810682275471
28;1987 QA;1987 QA;10–23/02;16.3–15.6;CORES (g', r', i', z');3.545166666666667;5.259833333333333;lento;2026-02-22;15.6;69.0;1987.0;0.5064935064935064;0.3802816901408451;0.0;0.39904883848545825
29;2004 DH2;2004 DH2;10–24/02;18.2–17.2;CORES (g', r', i', z');7.291333333333333;6.758666666666667;lento;2026-02-20;17.2;20.0;2004.0;0.7272727272727273;0.15492957746478886;0.0;0.3969910371318823
30;2008 YR27;2008 YR27;10–24/02;17.6–17.7;CORES (g', r', i', z');3.6745;5.266;lento;2026-02-10;17.6;35.0;2008.0;0.7792207792207793;0.09859154929577452;0.0;0.3950155478324492
31;2006 CS;2006 CS;10–23/02;18.0–17.5;CORES (g', r', i', z');0.8575;1.6090000000000002;lento;2026-02-23;17.5;21.0;2006.0;0.7532467532467533;0.11267605633802824;0.0;0.3896652643131517
32;1973 EC;1973 EC;10–24/02;15.1–14.8;CORES (g', r', i', z');1.3008333333333333;1.2461666666666666;lento;2026-02-21;14.8;21.0;1973.0;0.3246753246753247;0.49295774647887314;0.0;0.367934882019389
33;2009 WO106;2009 WO106;10–14/02;18.3–18.5;CORES (g', r', i', z');2.341;1.9893333333333334;lento;2026-02-10;18.3;66.0;2009.0;0.7922077922077922;0.0;0.0;0.35649350649350653
34;1999 AO10;1999 AO10;10–23/02;17.5–18.5;CORES (g', r', i', z');8.614;7.279166666666667;lento;2026-02-10;17.4;24.0;1999.0;0.6623376623376623;0.12676056338028197;0.0;0.355094201573075
35;2003 YQ117;2003 YQ117;10–23/02;17.8–18.1;CORES (g', r', i', z');3.315166666666667;2.9121666666666663;lento;2026-02-10;17.8;20.0;2003.0;0.7142857142857143;0.07042253521126762;0.0;0.3531187122736419
36;2003 KN18;2003 KN18;10–18/02;17.9–18.5;CORES (g', r', i', z');2.2161666666666666;4.219166666666667;lento;2026-02-10;17.9;28.0;2003.0;0.7142857142857143;0.05633802816901434;0.0;0.3467806841046279
37;1990 BG*;1990 BG;10–24/02;18.3–18.5;CORES (g', r', i', z');46.62;40.36;rápido;2026-02-10;18.3;54.0;1990.0;0.5454545454545454;0.0;1.0;0.34545454545454546
38;2000 PN9;2000 PN9;10–23/02;17.8–17.7;CORES (g', r', i', z');2.1621666666666663;2.847666666666667;lento;2026-02-19;17.7;23.0;2000.0;0.6753246753246753;0.08450704225352135;0.0;0.3419242729101885
39;2001 DQ8;2001 DQ8;10–20/02;17.8–18.5;CORES (g', r', i', z');4.227333333333333;2.5191666666666666;lento;2026-02-10;17.8;24.0;2001.0;0.6883116883116883;0.07042253521126762;0.0;0.3414304005853302
40;1959 LM*;1959 LM;10–23/02;15.6–15.6;CORES (g', r', i', z');45.06;46.5;rápido;2026-02-10;15.6;23.0;1959.0;0.14285714285714285;0.3802816901408451;1.0;0.33541247484909453
41;1992 FE;1992 FE;10–23/02;17.6–17.1;CORES (g', r', i', z');0.9763333333333333;1.3421666666666667;lento;2026-02-22;17.1;42.0;1992.0;0.5714285714285714;0.16901408450704214;0.0;0.3331991951710261
42;2000 CF59;2000 CF59;10–24/02;17.9–18.4;CORES (g', r', i', z');4.4965;3.2136666666666667;lento;2026-02-10;17.9;52.0;2000.0;0.6753246753246753;0.05633802816901434;0.0;0.32924821657216036
43;2000 UR13;2000 UR13;10–24/02;18.0–18.2;CORES (g', r', i', z');0.9383333333333332;0.7951666666666667;lento;2026-02-10;18.0;49.0;2000.0;0.6753246753246753;0.04225352112676062;0.0;0.32291018840314617
44;2001 PT9;2001 PT9;10–24/02;18.5–18.1;CORES (g', r', i', z');2.309833333333333;5.5035;lento;2026-02-21;18.1;39.0;2001.0;0.6883116883116883;0.028169014084506894;0.0;0.32241631607828786
45;2001 VS78;2001 VS78;10–23/02;18.3–18.3;CORES (g', r', i', z');2.0335;1.8575000000000002;lento;2026-02-10;18.3;24.0;2001.0;0.6883116883116883;0.0;0.0;0.30974025974025976
46;1999 KV4;1999 KV4;10–23/02;18.2–18.2;CORES (g', r', i', z');1.7723333333333333;1.5533333333333335;lento;2026-02-10;18.2;24.0;1999.0;0.6623376623376623;0.014084507042253724;0.0;0.30438997622096226
47;1972 XA*;1972 XA;10–23/02;17.7–17.6;CORES (g', r', i', z');29.12;32.93;rápido;2026-02-13;17.6;21.0;1972.0;0.3116883116883117;0.09859154929577452;1.0;0.28462593744283876
48;1990 XJ;1990 XJ;10–23/02;18.2–18.3;CORES (g', r', i', z');2.2565;2.1371666666666664;lento;2026-02-10;18.2;23.0;1990.0;0.5454545454545454;0.014084507042253724;0.0;0.2517925736235596
49;1948 OA*;1948 OA;10–23/02;18.0–17.9;CORES (g', r', i', z');40.88;28.97;rápido;2026-02-23;17.8;58.0;1948.0;0.0;0.07042253521126762;1.0;0.1316901408450704
50;1948 EA;1948 EA;10–24/02;17.8–17.9;CORES (g', r', i', z');1.135;1.1491666666666667;lento;2026-02-10;17.8;34.0;1948.0;0.0;0.07042253521126762;0.0;0.03169014084507043
51;A898 PA;A898 PA;10–24/02;11.2–11.3;CORES (g', r', i', z');2.222666666666667;2.3345;lento;2026-02-10;11.2;34.0;;;1.0;0.0;
