"Object Name","Rise time (UT)","Transit time (UT) ","Set time (UT)","Max. observable time (hh:mm)","Apparent R.A. (hh:mm:ss)","Apparent Dec. (+dd mm'ss"")","V-mag","Heliocentric range (au)","Topocentric range (au)","Obj.-Earth-Sun angle (deg)","Obj.-Earth-Moon angle (deg)","Galactic latitude (deg)"
"(2025 YK9)","16:47*","21:57*","03:07","04:55","04:46:41","-32 44'09""","17.8","1.02","0.179","96.11","120.3","-39.58"
"(2022 YU4)","00:10","03:27","06:44","06:34","10:17:18","+53 35'22""","17.6","1.11","0.158","139.74","113.2","50.99"
"(2021 CM9)","21:00*","01:33","06:05","07:53","08:23:06","+26 27'20""","18.0","1.37","0.399","158.36","128.5","30.57"
"(2016 NN39)","00:49","05:31","10:14*","06:33","12:22:24","+18 47'55""","17.6","1.15","0.202","140.61","75.47","79.25"
"(2016 CL136)","21:07*","02:07","07:08","08:55","08:57:45","-03 22'35""","17.8","1.10","0.115","159.80","108.9","25.77"
"(2015 HC117)","21:49*","02:42","07:35*","09:10","09:32:27","+07 26'07""","17.9","1.22","0.238","173.20","106.3","38.75"
"(2015 CB)","21:43*","02:40","07:38*","09:10","09:30:54","+01 34'27""","18.3","1.06","0.073","167.37","104.0","35.42"
"(2008 YR2)","22:41","03:29","08:17*","08:41","10:19:28","+13 25'27""","17.5","1.28","0.300","170.15","98.43","51.76"
"(2000 BH19)","00:30","05:27","10:25*","06:52","12:18:17","+01 02'50""","17.9","1.14","0.193","138.53","66.67","62.78"
"(1999 AO10)","22:05*","03:06","08:07*","09:10","09:56:41","-04 01'05""","17.1","1.01","0.028","161.41","95.70","37.41"
"614313 (2008 YR27)","21:06*","00:58","04:50","06:37","07:48:09","+45 15'03""","17.6","1.26","0.327","140.99","136.8","28.19"
"549328 (2011 GO27)","22:49","03:33","08:17*","08:33","10:23:31","+17 31'45""","17.2","1.25","0.269","168.74","99.32","54.35"
