Prioridade;Nome do objeto;Nome_limpo;Melhores dias para observação;ΔV-MAG (Início–Fim);Análise;"μ (""/min) Início";"μ (""/min) Fim";Classe;Melhor dia (menor V);V no melhor ponto;ALT no melhor ponto (deg);Ano;score_recencia;score_mag;score_vel;score_total
1;2025 YK9*;2025 YK9;10–23/02;17.7–18.1;CORES (g', r', i', z');2.944;10.149833333333333;rápido;2026-02-11;17.6;66.0;2025.0;1.0;0.09859154929577452;1.0;0.5943661971830985
4;2022 YU4;2022 YU4;10–17/02;17.4–17.1;CORES (g', r', i', z');3.08;4.2385;lento;2026-02-17;17.1;20.0;2022.0;0.961038961038961;0.16901408450704214;0.0;0.5085238704957014
5;2002 AJ129*;2002 AJ129;10–24/02;17.2–18.4;CORES (g', r', i', z');30.838166666666666;2.9328333333333334;rápido;2026-02-11;16.9;34.0;2002.0;0.7012987012987013;0.1971830985915496;1.0;0.5043168099506129
6;2015 CB*;2015 CB;10–15/02;18.1–19.0;CORES (g', r', i', z');10.050166666666666;6.468333333333334;rápido;2026-02-10;18.1;44.0;2015.0;0.8701298701298701;0.028169014084506894;1.0;0.5042344978964697
8;2009 AS*;2009 AS;10–24/02;18.0–18.1;CORES (g', r', i', z');53.58;35.14;rápido;2026-02-10;18.0;48.0;2009.0;0.7922077922077922;0.04225352112676062;1.0;0.4755075910005488
10;2016 NN39;2016 NN39;10–23/02;17.5–17.8;CORES (g', r', i', z');5.656000000000001;5.714666666666667;lento;2026-02-10;17.5;24.0;2016.0;0.8831168831168831;0.11267605633802824;0.0;0.4481068227547101
12;2021 CM9;2021 CM9;10–24/02;18.0–19.0;CORES (g', r', i', z');1.7311666666666667;0.9293333333333333;lento;2026-02-10;18.0;48.0;2021.0;0.948051948051948;0.04225352112676062;0.0;0.4456374611304189
13;2015 HC117;2015 HC117;10–24/02;17.6–17.7;CORES (g', r', i', z');1.3361666666666667;1.4133333333333333;lento;2026-02-12;17.5;24.0;2015.0;0.8701298701298701;0.11267605633802824;0.0;0.44226266691055427
15;2011 GO27;2011 GO27;10–24/02;17.2–17.8;CORES (g', r', i', z');1.648;1.0253333333333334;lento;2026-02-10;17.2;30.0;2011.0;0.8181818181818182;0.15492957746478886;0.0;0.4379001280409732
18;2008 YR2;2008 YR2;10–24/02;17.5–17.1;CORES (g', r', i', z');1.1656666666666666;1.252;lento;2026-02-19;17.0;69.0;2008.0;0.7792207792207793;0.18309859154929586;0.0;0.4330437168465338
20;2004 QB17*;2004 QB17;10–24/02;18.3–18.5;CORES (g', r', i', z');51.08;41.91;rápido;2026-02-10;18.3;36.0;2004.0;0.7272727272727273;0.0;1.0;0.42727272727272725
22;1998 WT30*;1998 WT30;10–24/02;17.8–18.1;CORES (g', r', i', z');3.71;17.17;rápido;2026-02-10;17.8;47.0;1998.0;0.6493506493506493;0.07042253521126762;1.0;0.4238979330528626
23;2000 SS164*;2000 SS164;10–23/02;18.2–18.0;CORES (g', r', i', z');29.3;34.23;rápido;2026-02-22;18.0;20.0;2000.0;0.6753246753246753;0.04225352112676062;1.0;0.42291018840314615
26;2001 YJ4;2001 YJ4;10–23/02;16.7–16.7;CORES (g', r', i', z');3.9335;4.276;lento;2026-02-10;16.7;21.0;2001.0;0.6883116883116883;0.22535211267605648;0.0;0.4111487104444852
27;2001 BW15;2001 BW15;10–24/02;17.3–16.8;CORES (g', r', i', z');2.7411666666666665;3.7488333333333332;lento;2026-02-21;16.8;34.0;2001.0;0.6883116883116883;0.21126760563380276;0.0;0.404810682275471
33;2009 WO106;2009 WO106;10–24/02;18.3–19.0;CORES (g', r', i', z');2.341;1.5411666666666666;lento;2026-02-10;18.3;66.0;2009.0;0.7922077922077922;0.0;0.0;0.35649350649350653
34;1999 AO10;1999 AO10;10–23/02;17.5–18.5;CORES (g', r', i', z');8.614;7.279166666666667;lento;2026-02-10;17.4;24.0;1999.0;0.6623376623376623;0.12676056338028197;0.0;0.355094201573075
39;2001 DQ8;2001 DQ8;10–24/02;17.8–18.9;CORES (g', r', i', z');4.227333333333333;2.006;lento;2026-02-10;17.8;24.0;2001.0;0.6883116883116883;0.07042253521126762;0.0;0.3414304005853302
44;2001 PT9;2001 PT9;10–24/02;18.5–18.1;CORES (g', r', i', z');2.309833333333333;5.5035;lento;2026-02-21;18.1;39.0;2001.0;0.6883116883116883;0.028169014084506894;0.0;0.32241631607828786
